interval,mean,sum,sd,n,n_pos,perc_pos,n_neg,perc_neg,type,Cohort.x,dates
C-D,-0.858083520217626,-10.2970022426115,9.61682624552908,12,5,0.416666666666667,7,0.583333333333333,unrooted_pd,D-Scour,t4-t6
C-D,-6.39920064053034,-76.7904076863641,12.4139287606106,12,3,0.25,9,0.75,unrooted_pd,ColiGuard,t4-t6
C-D,3.3634240463806,40.3610885565672,9.31252455503693,12,10,0.833333333333333,2,0.166666666666667,unrooted_pd,Neomycin,t4-t6
C-D,-8.14934128232906,-89.6427541056197,11.8210222324595,11,2,0.181818181818182,9,0.818181818181818,unrooted_pd,Neomycin+D-Scour,t4-t6
C-D,-1.71454561182958,-20.574547341955,9.18657954656766,12,5,0.416666666666667,7,0.583333333333333,unrooted_pd,Neomycin+ColiGuard,t4-t6
D-E,-1.89525202173034,-20.8477722390337,6.67412379103377,11,3,0.272727272727273,8,0.727272727272727,unrooted_pd,Control,t6-t8
D-E,0.500834629172201,6.01001555006641,8.04647540632973,12,6,0.5,6,0.5,unrooted_pd,D-Scour,t6-t8
D-E,0.618052078711422,7.41662494453706,7.93203298489861,12,6,0.5,6,0.5,unrooted_pd,ColiGuard,t6-t8
D-E,-6.85907712562278,-82.3089255074733,10.4686236384556,12,4,0.333333333333333,8,0.666666666666667,unrooted_pd,Neomycin,t6-t8
D-E,0.521508656935926,5.73659522629518,11.4343032792543,11,5,0.454545454545455,6,0.545454545454545,unrooted_pd,Neomycin+D-Scour,t6-t8
D-E,-3.36224293453108,-40.3469152143729,13.2005876250432,12,6,0.5,6,0.5,unrooted_pd,Neomycin+ColiGuard,t6-t8
A-C,5.74996230235992,97.7493591401186,13.089451494375,17,13,0.764705882352941,4,0.235294117647059,unrooted_pd,Control,t0-t4
A-C,4.17849566347524,75.2129219425544,13.0602441501579,18,13,0.722222222222222,5,0.277777777777778,unrooted_pd,D-Scour,t0-t4
A-C,6.16510329905719,110.971859383029,12.4898010677387,18,13,0.722222222222222,5,0.277777777777778,unrooted_pd,ColiGuard,t0-t4
A-C,7.23685298236711,130.263353682608,12.3267021054355,18,13,0.722222222222222,5,0.277777777777778,unrooted_pd,Neomycin,t0-t4
A-C,4.41131138477935,79.4036049260284,14.1200125657624,18,11,0.611111111111111,7,0.388888888888889,unrooted_pd,Neomycin+D-Scour,t0-t4
A-C,4.98433536948088,79.7493659116941,12.5926604089125,16,13,0.8125,3,0.1875,unrooted_pd,Neomycin+ColiGuard,t0-t4
B-D,-13.2452358147371,-132.452358147371,13.9683614763256,10,1,0.1,9,0.9,unrooted_pd,Control,t2-t6
B-D,-7.05755989133268,-84.6907186959922,12.180244429634,12,5,0.416666666666667,7,0.583333333333333,unrooted_pd,D-Scour,t2-t6
B-D,-6.41803820833876,-77.0164585000651,30.3180228361823,12,3,0.25,9,0.75,unrooted_pd,ColiGuard,t2-t6
B-D,-1.55446473543745,-18.6535768252494,9.17402121639287,12,7,0.583333333333333,5,0.416666666666667,unrooted_pd,Neomycin,t2-t6
B-D,-12.630221681173,-138.932438492904,12.8344017769185,11,2,0.181818181818182,9,0.818181818181818,unrooted_pd,Neomycin+D-Scour,t2-t6
B-D,-6.97245037952701,-76.6969541747971,8.26371358293218,11,2,0.181818181818182,9,0.818181818181818,unrooted_pd,Neomycin+ColiGuard,t2-t6
A-B,-4.72524879303935,-538.678362406486,7.58643405620779,114,33,0.289473684210526,81,0.710526315789474,bwpd,all,t0-t2
B-C,3.87212667119917,402.701173804713,7.97287543127816,104,75,0.721153846153846,29,0.278846153846154,bwpd,all,t2-t4
C-D,-3.66323367257973,-256.426357080581,10.3314774261191,70,28,0.4,42,0.6,bwpd,all,t4-t6
D-E,1.79843330285891,125.890331200124,7.65367912694118,70,37,0.528571428571429,33,0.471428571428571,bwpd,all,t6-t8
A-C,-1.16565187252168,-122.393446614777,8.84504987335104,105,46,0.438095238095238,59,0.561904761904762,bwpd,all,t0-t4
B-D,0.204307175352311,13.8928879239571,8.91240110868847,68,43,0.632352941176471,25,0.367647058823529,bwpd,all,t2-t6
A-B,-4.94777191543315,-108.850982139529,8.7072735522582,22,6,0.272727272727273,16,0.727272727272727,bwpd,Control,t0-t2
A-B,-4.05916927997883,-73.065047039619,8.24410577742445,18,8,0.444444444444444,10,0.555555555555556,bwpd,D-Scour,t0-t2
A-B,-8.62806882471929,-155.305238844947,8.6850588402539,18,3,0.166666666666667,15,0.833333333333333,bwpd,ColiGuard,t0-t2
A-B,-1.40374060714923,-32.2860339644324,6.65784438118816,23,10,0.434782608695652,13,0.565217391304348,bwpd,Neomycin,t0-t2
A-B,-5.02103192430036,-90.3785746374065,6.09800493349756,18,4,0.222222222222222,14,0.777777777777778,bwpd,Neomycin+D-Scour,t0-t2
A-B,-5.25283238537013,-78.792485780552,4.80797188526085,15,2,0.133333333333333,13,0.866666666666667,bwpd,Neomycin+ColiGuard,t0-t2
B-C,6.84950447241987,109.592071558718,5.58761698526288,16,16,1,0,0,bwpd,Control,t2-t4
B-C,1.41631634124795,25.4936941424631,10.1023710115762,18,11,0.611111111111111,7,0.388888888888889,bwpd,D-Scour,t2-t4
B-C,2.88854203534268,51.9937566361683,7.45930343190169,18,13,0.722222222222222,5,0.277777777777778,bwpd,ColiGuard,t2-t4
B-C,2.00062235745109,34.0105800766685,8.72060003845985,17,10,0.588235294117647,7,0.411764705882353,bwpd,Neomycin,t2-t4
B-C,6.01054515011723,108.18981270211,8.55747473957601,18,13,0.722222222222222,5,0.277777777777778,bwpd,Neomycin+D-Scour,t2-t4
B-C,4.31889756991681,73.4212586885857,5.71955973647764,17,12,0.705882352941177,5,0.294117647058824,bwpd,Neomycin+ColiGuard,t2-t4
C-D,-4.69498435288049,-51.6448278816854,9.32963447321794,11,5,0.454545454545455,6,0.545454545454545,bwpd,Control,t4-t6
C-D,-2.2702508523743,-27.2430102284916,9.44609940376741,12,5,0.416666666666667,7,0.583333333333333,bwpd,D-Scour,t4-t6
C-D,-1.12056149592725,-13.446737951127,12.4540358760222,12,6,0.5,6,0.5,bwpd,ColiGuard,t4-t6
C-D,-8.58464260273739,-103.015711232849,10.9852939822441,12,3,0.25,9,0.75,bwpd,Neomycin,t4-t6
C-D,1.2159527447352,13.3754801920872,4.12346010790495,11,6,0.545454545454545,5,0.454545454545455,bwpd,Neomycin+D-Scour,t4-t6
C-D,-6.20429583154298,-74.4515499785157,11.9350598082495,12,3,0.25,9,0.75,bwpd,Neomycin+ColiGuard,t4-t6
D-E,3.93797031485808,43.3176734634389,9.46553851092659,11,6,0.545454545454545,5,0.454545454545455,bwpd,Control,t6-t8
D-E,0.632923889183127,7.59508667019752,7.24845380105441,12,6,0.5,6,0.5,bwpd,D-Scour,t6-t8
D-E,0.670187256863375,8.0422470823605,6.86775239540899,12,5,0.416666666666667,7,0.583333333333333,bwpd,ColiGuard,t6-t8
D-E,3.43867309139886,41.2640770967863,6.11163477883374,12,8,0.666666666666667,4,0.333333333333333,bwpd,Neomycin,t6-t8
D-E,-2.21067526517028,-24.3174279168731,7.47210171213907,11,4,0.363636363636364,7,0.636363636363636,bwpd,Neomycin+D-Scour,t6-t8
D-E,4.16572290035113,49.9886748042136,8.10019288231223,12,8,0.666666666666667,4,0.333333333333333,bwpd,Neomycin+ColiGuard,t6-t8
A-C,1.11517567024323,18.957986394135,10.1203245718681,17,11,0.647058823529412,6,0.352941176470588,bwpd,Control,t0-t4
A-C,-2.22872008715046,-40.1169615687082,9.55323838152985,18,5,0.277777777777778,13,0.722222222222222,bwpd,D-Scour,t0-t4
A-C,-5.08196778876618,-91.4754201977913,6.57081877954973,18,3,0.166666666666667,15,0.833333333333333,bwpd,ColiGuard,t0-t4
A-C,-1.67339608246591,-30.1211294843863,9.01990078407667,18,8,0.444444444444444,10,0.555555555555556,bwpd,Neomycin,t0-t4
A-C,1.384277708751,24.9169987575179,9.6944630901782,18,12,0.666666666666667,6,0.333333333333333,bwpd,Neomycin+D-Scour,t0-t4
A-C,-0.284682532221488,-4.5549205155438,6.89184226873086,16,7,0.4375,9,0.5625,bwpd,Neomycin+ColiGuard,t0-t4
B-D,1.14009736075559,11.4009736075559,8.30929606129865,10,7,0.7,3,0.3,bwpd,Control,t2-t6
B-D,-1.17126501831818,-14.0551802198182,10.0729876800639,12,9,0.75,3,0.25,bwpd,D-Scour,t2-t6
B-D,4.22533934304233,50.704072116508,7.1564391310001,12,9,0.75,3,0.25,bwpd,ColiGuard,t2-t6
B-D,-6.07664649534761,-72.9197579441714,8.14550528589895,12,4,0.333333333333333,8,0.666666666666667,bwpd,Neomycin,t2-t6
B-D,3.6108198043272,39.7190178475993,7.78869037720874,11,7,0.636363636363636,4,0.363636363636364,bwpd,Neomycin+D-Scour,t2-t6
B-D,-0.0869306803378483,-0.956237483716331,9.25765493766278,11,7,0.636363636363636,4,0.363636363636364,bwpd,Neomycin+ColiGuard,t2-t6
