estimate,statistic,p.value,method,alternative,species,date,taxa_origin,padj_hommel,padj_BY,padj_bonferroni
0.210112771012299,139692.346333704,0.0340394845617472,Spearman's rank correlation rho,two.sided,Parasutterella,t0,SortMeRNA,0.0439,0.2262,1
-0.885714285714286,66,0.0333333333333333,Spearman's rank correlation rho,two.sided,Pir4,t0,SortMeRNA,0.0439,0.2262,1
0.330637766031606,108235.873232689,0.000830113596613006,Spearman's rank correlation rho,two.sided,Proteiniphilum,t0,SortMeRNA,0.0267,0.1378,0.0805
0.282723565966085,150580.710902476,0.00302982474411923,Spearman's rank correlation rho,two.sided,Pseudobutyrivibrio,t0,SortMeRNA,0.0289,0.1491,0.2939
-0.821428571428571,102,0.0341269841269841,Spearman's rank correlation rho,two.sided,Psychromonas,t0,SortMeRNA,0.0439,0.2262,1
-0.278879632272529,58521.531972791,0.0244738543587038,Spearman's rank correlation rho,two.sided,Pyramidobacter,t0,SortMeRNA,0.0436,0.2251,1
-0.560183240140292,2402.68218981605,0.00826371050729243,Spearman's rank correlation rho,two.sided,Rickettsia,t0,SortMeRNA,0.0356,0.1838,0.8016
0.216558589550964,164470.989061208,0.0243766933022497,Spearman's rank correlation rho,two.sided,Roseburia,t0,SortMeRNA,0.0436,0.2251,1
0.255666093772347,135546.181659681,0.00914642103264184,Spearman's rank correlation rho,two.sided,Ruminobacter,t0,SortMeRNA,0.037,0.1906,0.8872
-0.216924092382481,221606.744919219,0.0277396310576463,Spearman's rank correlation rho,two.sided,Schwartzia,t0,SortMeRNA,0.0439,0.2262,1
0.258108392259151,90128.701966397,0.014042500942715,Spearman's rank correlation rho,two.sided,Thalassospira,t0,SortMeRNA,0.0384,0.1981,1
0.512918621208639,397.458405093751,0.0352483913807035,Spearman's rank correlation rho,two.sided,Actinobaculum,t2,SortMeRNA,0.0439,0.2262,1
-1,40,0.0166666666666667,Spearman's rank correlation rho,two.sided,BCf9-17,t2,SortMeRNA,0.0384,0.1981,1
0.203608458740244,153639.856139832,0.0372269157121213,Spearman's rank correlation rho,two.sided,Dorea,t2,SortMeRNA,0.0439,0.2262,1
0.26993136701474,114510.535015105,0.00718838614003329,Spearman's rank correlation rho,two.sided,Elusimicrobium,t2,SortMeRNA,0.0332,0.1712,0.6973
-1,40,0.0166666666666667,Spearman's rank correlation rho,two.sided,Neorickettsia,t2,SortMeRNA,0.0384,0.1981,1
-0.665750285935683,606.333104080589,0.0129949833048111,Spearman's rank correlation rho,two.sided,Nitrospira,t2,SortMeRNA,0.0384,0.1981,1
-0.2530754176285,65653.6334312276,0.0373196057370059,Spearman's rank correlation rho,two.sided,Odoribacter,t2,SortMeRNA,0.0439,0.2262,1
0.47597543139036,928.047511007673,0.0251447272928442,Spearman's rank correlation rho,two.sided,Rhodopirellula,t2,SortMeRNA,0.0436,0.2251,1
0.264199014271684,29219.3929442572,0.0379870134320614,Spearman's rank correlation rho,two.sided,Rickettsia,t2,SortMeRNA,0.0439,0.2262,1
-0.821428571428571,102,0.0341269841269841,Spearman's rank correlation rho,two.sided,Rikenella,t2,SortMeRNA,0.0439,0.2262,1
0.239551021511982,105257.545357419,0.0200492169600623,Spearman's rank correlation rho,two.sided,Acetanaerobacterium,t4,SortMeRNA,0.0397,0.2047,1
0.883333333333333,14,0.00307539682539683,Spearman's rank correlation rho,two.sided,Actinopolyspora,t4,SortMeRNA,0.0289,0.1491,0.2983
0.818181818181818,40,0.00373447055331856,Spearman's rank correlation rho,two.sided,Alcaligenes,t4,SortMeRNA,0.0289,0.1491,0.3622
-0.254976583604837,78054.5235938864,0.0306530666514843,Spearman's rank correlation rho,two.sided,Altererythrobacter,t4,SortMeRNA,0.0439,0.2262,1
0.738095238095238,22,0.0458333333333333,Spearman's rank correlation rho,two.sided,Alteromonas,t4,SortMeRNA,0.0478,0.2465,1
0.24577682397714,158337.088235183,0.0103496843681312,Spearman's rank correlation rho,two.sided,Anaerotruncus,t4,SortMeRNA,0.0384,0.1981,1
0.194531424573333,169095.239913622,0.0436515023827036,Spearman's rank correlation rho,two.sided,Cerasibacillus,t4,SortMeRNA,0.047,0.2426,1
0.211414672675219,165550.872106601,0.0280626089162202,Spearman's rank correlation rho,two.sided,Desulfovibrio,t4,SortMeRNA,0.0439,0.2262,1
-0.197228550857743,251338.97859577,0.0407611280278286,Spearman's rank correlation rho,two.sided,Enterococcus,t4,SortMeRNA,0.0454,0.2344,1
0.234357071960948,147707.833677294,0.0161144991261003,Spearman's rank correlation rho,two.sided,Fastidiosipila,t4,SortMeRNA,0.0384,0.1981,1
0.190242707866672,169995.587366718,0.0485976627714152,Spearman's rank correlation rho,two.sided,Flavonifractor,t4,SortMeRNA,0.0493,0.254,1
0.350050170015797,3889.29978262547,0.0458211738457184,Spearman's rank correlation rho,two.sided,Fluviicola,t4,SortMeRNA,0.0478,0.2465,1
-0.974679434480896,39.4935886896179,0.00481823046819854,Spearman's rank correlation rho,two.sided,MSBL7,t4,SortMeRNA,0.0289,0.1491,0.4674
-0.567736477997464,1519.13664717954,0.0139832329688049,Spearman's rank correlation rho,two.sided,Nosocomiicoccus,t4,SortMeRNA,0.0384,0.1981,1
0.201731703399737,167583.65657848,0.0362922067279695,Spearman's rank correlation rho,two.sided,Paraprevotella,t4,SortMeRNA,0.0439,0.2262,1
0.208970104152423,166064.070154865,0.02997401388417,Spearman's rank correlation rho,two.sided,Phascolarctobacterium,t4,SortMeRNA,0.0439,0.2262,1
-0.52603142682085,1037.70137023818,0.0363505605101603,Spearman's rank correlation rho,two.sided,Prochlorococcus,t4,SortMeRNA,0.0439,0.2262,1
-0.716666666666667,206,0.0368661816578483,Spearman's rank correlation rho,two.sided,Rikenella,t4,SortMeRNA,0.0439,0.2262,1
0.225653913937462,149386.846923185,0.0206390377029161,Spearman's rank correlation rho,two.sided,Saccharofermentans,t4,SortMeRNA,0.04,0.2065,1
0.375967756926683,11497.1700463828,0.00845061318308442,Spearman's rank correlation rho,two.sided,Simplicispira,t4,SortMeRNA,0.0356,0.1838,0.8197
-0.670383259618588,608.019506501166,0.0121567644976946,Spearman's rank correlation rho,two.sided,Sorangium,t4,SortMeRNA,0.0384,0.1981,1
-0.718181818181818,378,0.0167992340927045,Spearman's rank correlation rho,two.sided,Succinatimonas,t4,SortMeRNA,0.0384,0.1981,1
0.253378806627207,61342.3972475087,0.0242536555381477,Spearman's rank correlation rho,two.sided,U29-B03,t4,SortMeRNA,0.0436,0.2251,1
0.272528666963603,144392.147537729,0.00470904433750545,Spearman's rank correlation rho,two.sided,Victivallis,t4,SortMeRNA,0.0289,0.1491,0.4568
-0.281933270338005,73268.8960661687,0.018052746408,Spearman's rank correlation rho,two.sided,Acetitomaculum,t6,SortMeRNA,0.0389,0.2007,1
0.68792889184309,68.6556437945202,0.0192910855509082,Spearman's rank correlation rho,two.sided,Aerococcus,t6,SortMeRNA,0.0397,0.2047,1
0.363485086560313,3808.90524202309,0.0375923718710381,Spearman's rank correlation rho,two.sided,Alkalibacterium,t6,SortMeRNA,0.0439,0.2262,1
0.638300820864068,59.6803645574288,0.0470244525285981,Spearman's rank correlation rho,two.sided,Dethiosulfovibrio,t6,SortMeRNA,0.0485,0.2502,1
-0.352215870438212,61877.3982312526,0.0040099214488893,Spearman's rank correlation rho,two.sided,Lachnoanaerobaculum,t6,SortMeRNA,0.0289,0.1491,0.389
0.262905487843443,42128.636842308,0.0278880250388716,Spearman's rank correlation rho,two.sided,Lactobacillus,t6,SortMeRNA,0.0439,0.2262,1
-0.282160833514113,73281.9024394991,0.0179559858279189,Spearman's rank correlation rho,two.sided,Megamonas,t6,SortMeRNA,0.0389,0.2007,1
1,4.44089209850063e-15,0.0166666666666667,Spearman's rank correlation rho,two.sided,Moraxella,t6,SortMeRNA,0.0384,0.1981,1
0.515207231980554,4089.71179101205,0.00110208537213826,Spearman's rank correlation rho,two.sided,Mycoplasma,t6,SortMeRNA,0.0267,0.1378,0.1069
0.363606518732194,9660.4530456453,0.014080881173884,Spearman's rank correlation rho,two.sided,Papillibacter,t6,SortMeRNA,0.0384,0.1981,1
-0.239606519581933,70849.7106267054,0.0457382470165702,Spearman's rank correlation rho,two.sided,Schwartzia,t6,SortMeRNA,0.0478,0.2465,1
-0.296416824042715,70965.8569480982,0.0133948582870632,Spearman's rank correlation rho,two.sided,Selenomonas,t6,SortMeRNA,0.0384,0.1981,1
-0.279255026803812,73115.8210569719,0.0192255096243909,Spearman's rank correlation rho,two.sided,Streptococcus,t6,SortMeRNA,0.0397,0.2047,1
0.380664258470588,3379.09580578447,0.031606723174742,Spearman's rank correlation rho,two.sided,Truepera,t6,SortMeRNA,0.0439,0.2262,1
-0.558282628840257,1271.55862513365,0.0198532001843322,Spearman's rank correlation rho,two.sided,Alkalibacter,t8,SortMeRNA,0.0397,0.2047,1
0.24252076695991,47112.1783781615,0.0401119940197773,Spearman's rank correlation rho,two.sided,Anaerostipes,t8,SortMeRNA,0.0452,0.2333,1
-0.517647058823529,1032,0.0423216151431748,Spearman's rank correlation rho,two.sided,Desulfatibacillum,t8,SortMeRNA,0.0461,0.2379,1
-0.308956979934521,59897.8714018037,0.0122745030156456,Spearman's rank correlation rho,two.sided,Dokdonella,t8,SortMeRNA,0.0384,0.1981,1
-0.400322696546631,6945.60057487129,0.0256439028000791,Spearman's rank correlation rho,two.sided,Dysgonomonas,t8,SortMeRNA,0.0436,0.2251,1
-1,40,0.0166666666666667,Spearman's rank correlation rho,two.sided,Francisella,t8,SortMeRNA,0.0384,0.1981,1
-0.366154041430918,12485.2817846372,0.0237665675377959,Spearman's rank correlation rho,two.sided,Mucispirillum,t8,SortMeRNA,0.0436,0.2251,1
-0.363193258608773,56796.0839266759,0.00343742163800339,Spearman's rank correlation rho,two.sided,p-1088-a5,t8,SortMeRNA,0.0289,0.1491,0.3334
0.380605445587766,38523.8637062233,0.000973446434656822,Spearman's rank correlation rho,two.sided,Planomicrobium,t8,SortMeRNA,0.0267,0.1378,0.0944
0.570250097713346,156.428964432342,0.0418592581405102,Spearman's rank correlation rho,two.sided,Pyramidobacter,t8,SortMeRNA,0.0461,0.2379,1
0.26326965868151,45821.6803086448,0.025456961316941,Spearman's rank correlation rho,two.sided,Ruminococcus,t8,SortMeRNA,0.0436,0.2251,1
0.65653798717447,56.6712321162125,0.0392043863325568,Spearman's rank correlation rho,two.sided,Succinatimonas,t8,SortMeRNA,0.0447,0.2307,1
0.389992309777685,5146.02487471545,0.0170256244168439,Spearman's rank correlation rho,two.sided,Acholeplasma,t10,SortMeRNA,0.0384,0.1981,1
-0.349455426232829,43869.4464514031,0.00717127587673426,Spearman's rank correlation rho,two.sided,Burkholderia,t10,SortMeRNA,0.0332,0.1712,0.6956
0.310554474100158,23592.8258962926,0.0166705603220068,Spearman's rank correlation rho,two.sided,Cerasibacillus,t10,SortMeRNA,0.0384,0.1981,1
0.702935023354807,35.6477971974231,0.0346701065943266,Spearman's rank correlation rho,two.sided,Denitratisoma,t10,SortMeRNA,0.0439,0.2262,1
0.270266519857107,26263.1079503427,0.036754922047434,Spearman's rank correlation rho,two.sided,Johnsonella,t10,SortMeRNA,0.0439,0.2262,1
-0.785714285714286,150,0.0279265873015873,Spearman's rank correlation rho,two.sided,Nosocomiicoccus,t10,SortMeRNA,0.0439,0.2262,1
-0.788156942310295,393.394527308265,0.00395619230459285,Spearman's rank correlation rho,two.sided,Noviherbaspirillum,t10,SortMeRNA,0.0289,0.1491,0.3838
-0.369019924408151,32070.6607491854,0.00710051841908655,Spearman's rank correlation rho,two.sided,p-1088-a5,t10,SortMeRNA,0.0332,0.1712,0.6888
0.353277943488282,23275.5268138567,0.00562619526008236,Spearman's rank correlation rho,two.sided,Planomicrobium,t10,SortMeRNA,0.0303,0.1564,0.5457
0.255565132812952,26792.2108700619,0.0487446592528814,Spearman's rank correlation rho,two.sided,Ruminococcus,t10,SortMeRNA,0.0493,0.254,1
0.356579666500495,12611.0385365903,0.0119068100146451,Spearman's rank correlation rho,two.sided,SP3-e08,t10,SortMeRNA,0.0384,0.1981,1
